,MOF,Solv_remove,Formula,Type,Node-file
8625,c7ce01216k2_5,FSR,C6H6Mn2O15,Type-1,c7ce01216k2_5_FSR_pacman_node0
7791,c7ce01216k2_6,ASR,C6Cl2Mn3O12,Type-1,c7ce01216k2_6_ASR_pacman_node0
7792,c7ce01216k2_6,FSR,C6Cl2Mn3O12,Type-1,c7ce01216k2_6_FSR_pacman_node0
8805,c7ce01216k2_8,ASR,C6Mn2O13,Type-1,c7ce01216k2_8_ASR_pacman_node0
8806,c7ce01216k2_9,ASR,C6Mn2O13,Type-1,c7ce01216k2_9_ASR_pacman_node0
10809,c7ce01453h2_4,ASR,Cd1,Type-1,c7ce01453h2_4_ASR_pacman_node0
4896,c7ce01510k2_5,ASR,C4Co2O8,Type-2,c7ce01510k2_5_ASR_pacman_node0
4897,c7ce01510k2_5,FSR,C4Co2O8,Type-2,c7ce01510k2_5_FSR_pacman_node0
13194,c7ce01580a2,ASR,Cu5I4,Type-1,c7ce01580a2_ASR_pacman_node0
16381,c7ce01580a2,ASR,Pr2,Type-1,c7ce01580a2_ASR_pacman_node1
13195,c7ce01580a2,FSR,Cu5I4,Type-1,c7ce01580a2_FSR_pacman_node0
16382,c7ce01580a2,FSR,Pr2,Type-1,c7ce01580a2_FSR_pacman_node1
3792,c7ce01638g2,ASR,C3Cd1O6,Type-1,c7ce01638g2_ASR_pacman_node1
9633,c7ce01638g2,ASR,C8Cd3O16,Type-1,c7ce01638g2_ASR_pacman_node0
3793,c7ce01638g2,FSR,C3Cd1O6,Type-1,c7ce01638g2_FSR_pacman_node1
9634,c7ce01638g2,FSR,C8Cd3O16,Type-1,c7ce01638g2_FSR_pacman_node0
9463,c7ce01649b2,ASR,C6O13Zn4,Type-1,c7ce01649b2_ASR_pacman_node0
8613,c7ce01649b2,FSR,C6H4O15Zn4,Type-1,c7ce01649b2_FSR_pacman_node0
2493,c7ce01840a2_2,ASR,C2Cu1O4,Type-1,c7ce01840a2_2_ASR_pacman_node0
2378,c7ce01840a2_2,FSR,C2Cu1H2O5,Type-1,c7ce01840a2_2_FSR_pacman_node0
7480,c7ce01920c2_3,ASR,C5Cd2O10,Type-1,c7ce01920c2_3_ASR_pacman_node0
7481,c7ce01920c2_3,FSR,C5Cd2O10,Type-1,c7ce01920c2_3_FSR_pacman_node0
10810,c7ce01988b2_11,ASR,Cd1,Type-1,c7ce01988b2_11_ASR_pacman_node0
10811,c7ce01988b2_11,FSR,Cd1,Type-1,c7ce01988b2_11_FSR_pacman_node0
18289,c7ce01988b2_9,ASR,Zn1,Type-1,c7ce01988b2_9_ASR_pacman_node0
18290,c7ce01988b2_9,FSR,Zn1,Type-1,c7ce01988b2_9_FSR_pacman_node0
16182,c7ce02009k2_7,ASR,Ni1,Type-1,c7ce02009k2_7_ASR_pacman_node0
16183,c7ce02009k2_7,FSR,Ni1,Type-1,c7ce02009k2_7_FSR_pacman_node0
2494,c7cy00882a2,ASR,C2Cu1O4,Type-1,c7cy00882a2_ASR_pacman_node1
5725,c7cy00882a2,ASR,C4Cu2O8,Type-1,c7cy00882a2_ASR_pacman_node0
12895,c7cy00882a2,ASR,Cu1H2O2,Type-1,c7cy00882a2_ASR_pacman_node2
2495,c7cy00882a2,FSR,C2Cu1O4,Type-1,c7cy00882a2_FSR_pacman_node1
5726,c7cy00882a2,FSR,C4Cu2O8,Type-1,c7cy00882a2_FSR_pacman_node0
12896,c7cy00882a2,FSR,Cu1H2O2,Type-1,c7cy00882a2_FSR_pacman_node2
7196,c7cy02265d2,ASR,C4O8Zn2,Type-1,c7cy02265d2_ASR_pacman_node0
7197,c7cy02265d2,FSR,C4O8Zn2,Type-1,c7cy02265d2_FSR_pacman_node0
1923,c7dt00005g2_2,ASR,C2Cd1O4,Type-1,c7dt00005g2_2_ASR_pacman_node0
1924,c7dt00005g2_2,FSR,C2Cd1O4,Type-1,c7dt00005g2_2_FSR_pacman_node0
820,c7dt00024c2_1,FSR,C10H4O22Zn5,Type-1,c7dt00024c2_1_FSR_pacman_node0
7526,c7dt00024c2_2,FSR,C5H7O14Zn3,Type-1,c7dt00024c2_2_FSR_pacman_node0
5727,c7dt00192d2,ASR,C4Cu2O8,Type-1,c7dt00192d2_ASR_pacman_node0
13218,c7dt00192d2,ASR,Cu6O2,Type-1,c7dt00192d2_ASR_pacman_node1
15971,c7dt00215g2_10,ASR,Nd2,Type-1,c7dt00215g2_10_ASR_pacman_node0
15972,c7dt00215g2_10,FSR,Nd2,Type-1,c7dt00215g2_10_FSR_pacman_node0
16383,c7dt00215g2_7,ASR,Pr2,Type-1,c7dt00215g2_7_ASR_pacman_node0
16384,c7dt00215g2_7,FSR,Pr2,Type-1,c7dt00215g2_7_FSR_pacman_node0
7628,c7dt00292k2_1,ASR,C6Cd2O12,Type-1,c7dt00292k2_1_ASR_pacman_node0
7601,c7dt00292k2_1,FSR,C6Cd2H4O14,Type-2,c7dt00292k2_1_FSR_pacman_node0
3620,c7dt00330g2,ion,C2O4Zn1,Type-1,c7dt00330g2_ion_pacman_node0
3621,c7dt00614d2_1,ASR,C2O4Zn1,Type-1,c7dt00614d2_1_ASR_pacman_node0
3622,c7dt00614d2_1,FSR,C2O4Zn1,Type-1,c7dt00614d2_1_FSR_pacman_node0
3623,c7dt00614d2_2,ASR,C2O4Zn1,Type-1,c7dt00614d2_2_ASR_pacman_node0
3624,c7dt00614d2_2,FSR,C2O4Zn1,Type-1,c7dt00614d2_2_FSR_pacman_node0
8056,c7dt01074e2,ASR,C6Cu4O14,Type-1,c7dt01074e2_ASR_pacman_node0
8051,c7dt01074e2,FSR,C6Cu4H4O16,Type-1,c7dt01074e2_FSR_pacman_node0
3625,c7dt01147d2,ASR,C2O4Zn1,Type-1,c7dt01147d2_ASR_pacman_node0
3626,c7dt01147d2,FSR,C2O4Zn1,Type-1,c7dt01147d2_FSR_pacman_node0
7355,c7dt01195d2_3,ASR,C4O8Zn2,Type-2,c7dt01195d2_3_ASR_pacman_node0
7356,c7dt01195d2_3,FSR,C4O8Zn2,Type-2,c7dt01195d2_3_FSR_pacman_node0
15626,c7dt01251a2_1,ASR,Mn1,Type-1,c7dt01251a2_1_ASR_pacman_node0
15627,c7dt01251a2_1,FSR,Mn1,Type-1,c7dt01251a2_1_FSR_pacman_node0
3812,c7dt01306j2_2,ASR,C3Cd2O6,Type-1,c7dt01306j2_2_ASR_pacman_node0
2173,c7dt01306j2_4,ASR,C2Co1O4,Type-1,c7dt01306j2_4_ASR_pacman_node0
2174,c7dt01306j2_4,FSR,C2Co1O4,Type-1,c7dt01306j2_4_FSR_pacman_node0
